
################################################################################
#              CLUSTER SIMILARITY TABLES              #
################################################################################


Cosine Similarity (Word-Based)
        0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19
 0 | 1.000 0.030 0.316 0.025 0.028 0.034 0.020 0.039 0.041 0.024 0.016 0.087 0.028 0.037 0.080 0.092 0.021 0.031 0.049 0.019
 1 | 0.030 1.000 0.044 0.217 0.246 0.288 0.284 0.245 0.239 0.209 0.111 0.123 0.385 0.286 0.116 0.103 0.169 0.200 0.392 0.188
 2 | 0.316 0.044 1.000 0.099 0.091 0.085 0.058 0.106 0.093 0.101 0.058 0.365 0.040 0.087 0.350 0.373 0.051 0.117 0.138 0.076
 3 | 0.025 0.217 0.099 1.000 0.468 0.437 0.261 0.419 0.416 0.587 0.206 0.204 0.134 0.460 0.228 0.242 0.313 0.453 0.269 0.422
 4 | 0.028 0.246 0.091 0.468 1.000 0.565 0.267 0.462 0.512 0.553 0.272 0.200 0.164 0.554 0.196 0.174 0.366 0.536 0.271 0.475
 5 | 0.034 0.288 0.085 0.437 0.565 1.000 0.316 0.555 0.585 0.580 0.271 0.246 0.168 0.585 0.201 0.166 0.357 0.498 0.289 0.468
 6 | 0.020 0.284 0.058 0.261 0.267 0.316 1.000 0.298 0.217 0.383 0.230 0.131 0.161 0.250 0.113 0.116 0.152 0.227 0.271 0.245
 7 | 0.039 0.245 0.106 0.419 0.462 0.555 0.298 1.000 0.599 0.523 0.266 0.219 0.156 0.587 0.280 0.234 0.285 0.519 0.292 0.393
 8 | 0.041 0.239 0.093 0.416 0.512 0.585 0.217 0.599 1.000 0.472 0.255 0.174 0.157 0.613 0.230 0.189 0.364 0.517 0.251 0.401
 9 | 0.024 0.209 0.101 0.587 0.553 0.580 0.383 0.523 0.472 1.000 0.282 0.181 0.122 0.510 0.201 0.218 0.293 0.528 0.234 0.493
10 | 0.016 0.111 0.058 0.206 0.272 0.271 0.230 0.266 0.255 0.282 1.000 0.098 0.076 0.262 0.113 0.098 0.165 0.258 0.121 0.349
11 | 0.087 0.123 0.365 0.204 0.200 0.246 0.131 0.219 0.174 0.181 0.098 1.000 0.088 0.189 0.665 0.639 0.155 0.225 0.374 0.170
12 | 0.028 0.385 0.040 0.134 0.164 0.168 0.161 0.156 0.157 0.122 0.076 0.088 1.000 0.182 0.087 0.080 0.124 0.132 0.263 0.112
13 | 0.037 0.286 0.087 0.460 0.554 0.585 0.250 0.587 0.613 0.510 0.262 0.189 0.182 1.000 0.190 0.221 0.348 0.475 0.290 0.375
14 | 0.080 0.116 0.350 0.228 0.196 0.201 0.113 0.280 0.230 0.201 0.113 0.665 0.087 0.190 1.000 0.688 0.123 0.286 0.366 0.174
15 | 0.092 0.103 0.373 0.242 0.174 0.166 0.116 0.234 0.189 0.218 0.098 0.639 0.080 0.221 0.688 1.000 0.113 0.228 0.340 0.137
16 | 0.021 0.169 0.051 0.313 0.366 0.357 0.152 0.285 0.364 0.293 0.165 0.155 0.124 0.348 0.123 0.113 1.000 0.331 0.172 0.294
17 | 0.031 0.200 0.117 0.453 0.536 0.498 0.227 0.519 0.517 0.528 0.258 0.225 0.132 0.475 0.286 0.228 0.331 1.000 0.256 0.444
18 | 0.049 0.392 0.138 0.269 0.271 0.289 0.271 0.292 0.251 0.234 0.121 0.374 0.263 0.290 0.366 0.340 0.172 0.256 1.000 0.201
19 | 0.019 0.188 0.076 0.422 0.475 0.468 0.245 0.393 0.401 0.493 0.349 0.170 0.112 0.375 0.174 0.137 0.294 0.444 0.201 1.000

Correlation (Document-Based)
        0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19
 0 | 1.000 -0.038 0.051 -0.059 -0.065 -0.064 -0.065 -0.066 -0.059 -0.078 -0.035 -0.068 -0.012 -0.098 -0.027 -0.124 -0.062 -0.035 -0.038 -0.022
 1 | -0.038 1.000 -0.054 -0.036 -0.017 -0.006 0.041 -0.039 -0.038 -0.027 -0.031 -0.060 0.006 -0.044 -0.025 -0.101 -0.033 -0.030 0.048 -0.017
 2 | 0.051 -0.054 1.000 -0.080 -0.085 -0.094 -0.088 -0.085 -0.076 -0.113 -0.050 -0.020 -0.021 -0.144 0.015 0.022 -0.091 -0.048 -0.034 -0.032
 3 | -0.059 -0.036 -0.080 1.000 -0.069 -0.062 0.052 -0.044 -0.056 -0.011 -0.041 -0.092 -0.027 -0.027 -0.045 -0.100 -0.039 -0.036 -0.042 -0.023
 4 | -0.065 -0.017 -0.085 -0.069 1.000 -0.072 -0.078 -0.049 -0.073 -0.078 -0.040 -0.084 0.001 -0.056 -0.052 -0.106 -0.093 -0.045 -0.025 -0.017
 5 | -0.064 -0.006 -0.094 -0.062 -0.072 1.000 -0.032 -0.062 0.005 -0.047 0.029 -0.074 -0.026 -0.060 -0.027 -0.200 -0.012 -0.043 -0.046 -0.018
 6 | -0.065 0.041 -0.088 0.052 -0.078 -0.032 1.000 -0.088 -0.085 -0.005 -0.049 -0.090 -0.024 -0.076 -0.051 -0.179 0.040 -0.049 -0.007 -0.035
 7 | -0.066 -0.039 -0.085 -0.044 -0.049 -0.062 -0.088 1.000 0.005 0.048 -0.052 -0.078 -0.015 -0.028 -0.003 -0.113 -0.077 -0.008 -0.029 -0.022
 8 | -0.059 -0.038 -0.076 -0.056 -0.073 0.005 -0.085 0.005 1.000 -0.002 -0.017 -0.102 -0.027 -0.029 -0.030 -0.173 -0.069 -0.025 -0.065 0.003
 9 | -0.078 -0.027 -0.113 -0.011 -0.078 -0.047 -0.005 0.048 -0.002 1.000 -0.010 -0.121 -0.041 -0.065 -0.063 -0.225 -0.091 0.055 -0.079 -0.035
10 | -0.035 -0.031 -0.050 -0.041 -0.040 0.029 -0.049 -0.052 -0.017 -0.010 1.000 -0.042 -0.018 -0.050 -0.025 -0.085 -0.052 -0.028 -0.039 -0.013
11 | -0.068 -0.060 -0.020 -0.092 -0.084 -0.074 -0.090 -0.078 -0.102 -0.121 -0.042 1.000 -0.031 -0.167 0.029 0.117 0.010 -0.044 -0.006 -0.028
12 | -0.012 0.006 -0.021 -0.027 0.001 -0.026 -0.024 -0.015 -0.027 -0.041 -0.018 -0.031 1.000 -0.032 -0.011 -0.053 -0.019 -0.018 0.066 0.003
13 | -0.098 -0.044 -0.144 -0.027 -0.056 -0.060 -0.076 -0.028 -0.029 -0.065 -0.050 -0.167 -0.032 1.000 -0.077 -0.270 -0.109 -0.070 -0.058 -0.048
14 | -0.027 -0.025 0.015 -0.045 -0.052 -0.027 -0.051 -0.003 -0.030 -0.063 -0.025 0.029 -0.011 -0.077 1.000 0.004 -0.051 0.039 0.052 -0.014
15 | -0.124 -0.101 0.022 -0.100 -0.106 -0.200 -0.179 -0.113 -0.173 -0.225 -0.085 0.117 -0.053 -0.270 0.004 1.000 -0.148 -0.052 -0.032 -0.070
16 | -0.062 -0.033 -0.091 -0.039 -0.093 -0.012 0.040 -0.077 -0.069 -0.091 -0.052 0.010 -0.019 -0.109 -0.051 -0.148 1.000 -0.036 -0.043 -0.026
17 | -0.035 -0.030 -0.048 -0.036 -0.045 -0.043 -0.049 -0.008 -0.025 0.055 -0.028 -0.044 -0.018 -0.070 0.039 -0.052 -0.036 1.000 -0.033 -0.003
18 | -0.038 0.048 -0.034 -0.042 -0.025 -0.046 -0.007 -0.029 -0.065 -0.079 -0.039 -0.006 0.066 -0.058 0.052 -0.032 -0.043 -0.033 1.000 -0.020
19 | -0.022 -0.017 -0.032 -0.023 -0.017 -0.018 -0.035 -0.022 0.003 -0.035 -0.013 -0.028 0.003 -0.048 -0.014 -0.070 -0.026 -0.003 -0.020 1.000
