
################################################################################
#              CLUSTER SIMILARITY TABLES              #
################################################################################


Cosine Similarity (Word-Based)
        0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19
 0 | 1.000 0.889 0.888 0.801 0.770 0.861 0.786 0.797 0.810 0.749 0.912 0.879 0.865 0.802 0.825 0.860 0.869 0.785 0.864 0.836
 1 | 0.889 1.000 0.929 0.812 0.608 0.892 0.848 0.691 0.838 0.855 0.842 0.885 0.911 0.757 0.896 0.837 0.792 0.762 0.927 0.747
 2 | 0.888 0.929 1.000 0.817 0.563 0.917 0.848 0.689 0.842 0.867 0.866 0.905 0.880 0.790 0.853 0.891 0.786 0.761 0.935 0.764
 3 | 0.801 0.812 0.817 1.000 0.590 0.838 0.802 0.759 0.760 0.706 0.775 0.769 0.765 0.776 0.761 0.831 0.828 0.792 0.838 0.888
 4 | 0.770 0.608 0.563 0.590 1.000 0.646 0.517 0.829 0.526 0.443 0.750 0.652 0.631 0.598 0.655 0.613 0.816 0.555 0.594 0.685
 5 | 0.861 0.892 0.917 0.838 0.646 1.000 0.896 0.733 0.887 0.918 0.898 0.948 0.911 0.801 0.935 0.930 0.801 0.673 0.962 0.768
 6 | 0.786 0.848 0.848 0.802 0.517 0.896 1.000 0.644 0.837 0.847 0.818 0.853 0.857 0.767 0.838 0.850 0.722 0.674 0.914 0.715
 7 | 0.797 0.691 0.689 0.759 0.829 0.733 0.644 1.000 0.721 0.555 0.802 0.724 0.705 0.768 0.670 0.738 0.833 0.729 0.709 0.834
 8 | 0.810 0.838 0.842 0.760 0.526 0.887 0.837 0.721 1.000 0.891 0.873 0.905 0.896 0.815 0.817 0.884 0.678 0.742 0.896 0.763
 9 | 0.749 0.855 0.867 0.706 0.443 0.918 0.847 0.555 0.891 1.000 0.824 0.923 0.889 0.704 0.896 0.877 0.618 0.563 0.920 0.618
10 | 0.912 0.842 0.866 0.775 0.750 0.898 0.818 0.802 0.873 0.824 1.000 0.932 0.899 0.855 0.842 0.904 0.852 0.732 0.903 0.804
11 | 0.879 0.885 0.905 0.769 0.652 0.948 0.853 0.724 0.905 0.923 0.932 1.000 0.932 0.793 0.931 0.923 0.763 0.638 0.951 0.726
12 | 0.865 0.911 0.880 0.765 0.631 0.911 0.857 0.705 0.896 0.889 0.899 0.932 1.000 0.776 0.898 0.871 0.777 0.714 0.938 0.719
13 | 0.802 0.757 0.790 0.776 0.598 0.801 0.767 0.768 0.815 0.704 0.855 0.793 0.776 1.000 0.661 0.817 0.720 0.773 0.788 0.788
14 | 0.825 0.896 0.853 0.761 0.655 0.935 0.838 0.670 0.817 0.896 0.842 0.931 0.898 0.661 1.000 0.866 0.754 0.559 0.936 0.684
15 | 0.860 0.837 0.891 0.831 0.613 0.930 0.850 0.738 0.884 0.877 0.904 0.923 0.871 0.817 0.866 1.000 0.772 0.698 0.930 0.805
16 | 0.869 0.792 0.786 0.828 0.816 0.801 0.722 0.833 0.678 0.618 0.852 0.763 0.777 0.720 0.754 0.772 1.000 0.779 0.796 0.831
17 | 0.785 0.762 0.761 0.792 0.555 0.673 0.674 0.729 0.742 0.563 0.732 0.638 0.714 0.773 0.559 0.698 0.779 1.000 0.701 0.862
18 | 0.864 0.927 0.935 0.838 0.594 0.962 0.914 0.709 0.896 0.920 0.903 0.951 0.938 0.788 0.936 0.930 0.796 0.701 1.000 0.759
19 | 0.836 0.747 0.764 0.888 0.685 0.768 0.715 0.834 0.763 0.618 0.804 0.726 0.719 0.788 0.684 0.805 0.831 0.862 0.759 1.000

Correlation (Document-Based)
        0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19
 0 | 1.000 0.020 0.205 -0.180 -0.114 -0.194 -0.102 -0.114 -0.168 -0.162 -0.181 -0.181 -0.054 -0.181 -0.065 -0.024 -0.132 -0.158 -0.123 -0.028
 1 | 0.020 1.000 0.075 -0.089 0.248 -0.083 -0.136 0.052 -0.130 -0.124 -0.118 0.002 0.108 -0.108 0.101 0.070 -0.039 -0.036 0.033 -0.017
 2 | 0.205 0.075 1.000 -0.084 -0.124 -0.165 -0.259 0.080 -0.033 -0.070 -0.078 -0.041 -0.071 -0.249 0.040 0.144 -0.001 0.067 0.079 0.158
 3 | -0.180 -0.089 -0.084 1.000 -0.060 0.135 -0.081 0.155 0.239 0.193 0.048 -0.146 -0.114 -0.219 -0.055 -0.091 -0.111 0.189 0.048 0.055
 4 | -0.114 0.248 -0.124 -0.060 1.000 0.124 -0.027 -0.051 -0.050 -0.003 -0.040 -0.012 0.215 0.033 0.170 -0.215 -0.068 -0.031 -0.004 -0.173
 5 | -0.194 -0.083 -0.165 0.135 0.124 1.000 -0.028 -0.151 0.280 0.433 0.068 0.096 -0.015 0.083 -0.123 -0.502 -0.009 -0.009 -0.307 -0.194
 6 | -0.102 -0.136 -0.259 -0.081 -0.027 -0.028 1.000 -0.200 -0.109 -0.060 -0.060 -0.183 -0.067 0.014 -0.029 -0.165 -0.022 -0.187 -0.136 -0.161
 7 | -0.114 0.052 0.080 0.155 -0.051 -0.151 -0.200 1.000 0.002 -0.132 -0.110 -0.093 -0.085 -0.149 -0.024 0.204 -0.210 0.110 0.143 0.118
 8 | -0.168 -0.130 -0.033 0.239 -0.050 0.280 -0.109 0.002 1.000 0.368 0.093 -0.059 -0.092 -0.056 -0.170 -0.349 0.003 0.227 -0.247 0.016
 9 | -0.162 -0.124 -0.070 0.193 -0.003 0.433 -0.060 -0.132 0.368 1.000 0.111 0.028 -0.016 -0.126 -0.092 -0.415 0.071 0.082 -0.218 -0.093
10 | -0.181 -0.118 -0.078 0.048 -0.040 0.068 -0.060 -0.110 0.093 0.111 1.000 -0.034 -0.055 0.064 -0.161 -0.225 0.060 0.232 -0.153 -0.119
11 | -0.181 0.002 -0.041 -0.146 -0.012 0.096 -0.183 -0.093 -0.059 0.028 -0.034 1.000 0.021 0.008 0.009 0.099 0.088 -0.132 0.087 -0.170
12 | -0.054 0.108 -0.071 -0.114 0.215 -0.015 -0.067 -0.085 -0.092 -0.016 -0.055 0.021 1.000 -0.031 0.071 -0.096 0.112 -0.087 -0.056 -0.129
13 | -0.181 -0.108 -0.249 -0.219 0.033 0.083 0.014 -0.149 -0.056 -0.126 0.064 0.008 -0.031 1.000 -0.228 -0.332 -0.052 -0.083 -0.286 -0.247
14 | -0.065 0.101 0.040 -0.055 0.170 -0.123 -0.029 -0.024 -0.170 -0.092 -0.161 0.009 0.071 -0.228 1.000 0.143 -0.091 -0.145 0.213 -0.050
15 | -0.024 0.070 0.144 -0.091 -0.215 -0.502 -0.165 0.204 -0.349 -0.415 -0.225 0.099 -0.096 -0.332 0.143 1.000 -0.146 -0.158 0.406 0.336
16 | -0.132 -0.039 -0.001 -0.111 -0.068 -0.009 -0.022 -0.210 0.003 0.071 0.060 0.088 0.112 -0.052 -0.091 -0.146 1.000 -0.055 -0.081 -0.132
17 | -0.158 -0.036 0.067 0.189 -0.031 -0.009 -0.187 0.110 0.227 0.082 0.232 -0.132 -0.087 -0.083 -0.145 -0.158 -0.055 1.000 -0.057 0.010
18 | -0.123 0.033 0.079 0.048 -0.004 -0.307 -0.136 0.143 -0.247 -0.218 -0.153 0.087 -0.056 -0.286 0.213 0.406 -0.081 -0.057 1.000 0.121
19 | -0.028 -0.017 0.158 0.055 -0.173 -0.194 -0.161 0.118 0.016 -0.093 -0.119 -0.170 -0.129 -0.247 -0.050 0.336 -0.132 0.010 0.121 1.000
