
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         2  |         217  |      29.36%
         1  |         190  |      25.71%
         4  |          81  |      10.96%
         9  |          55  |       7.44%
         3  |          50  |       6.77%
         5  |          37  |       5.01%
         7  |          36  |       4.87%
         6  |          31  |       4.19%
         0  |          27  |       3.65%
         8  |          15  |       2.03%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 27 (3.65%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | unto            |   0.004942 |      0.49%
   2 | vienna          |   0.004830 |      0.48%
   3 | emperor         |   0.003387 |      0.34%
   4 | hungary         |   0.003291 |      0.33%
   5 | ut              |   0.003191 |      0.32%
   6 | your            |   0.003073 |      0.31%
   7 | que             |   0.002982 |      0.30%
   8 | turks           |   0.002914 |      0.29%
   9 | turkish         |   0.002876 |      0.29%
  10 | indians         |   0.002679 |      0.27%
  11 | earth           |   0.002386 |      0.24%
  12 | austria         |   0.002362 |      0.24%
  13 | poland          |   0.002340 |      0.23%
  14 | anno            |   0.002288 |      0.23%
  15 | you             |   0.002250 |      0.23%
  16 | indian          |   0.002225 |      0.22%
  17 | have            |   0.002150 |      0.21%
  18 | onely           |   0.002135 |      0.21%
  19 | christ          |   0.002043 |      0.20%
  20 | ambassador      |   0.002015 |      0.20%

######## Topic 1 ########
Documents: 190 (25.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.015187 |      1.52%
   2 | vpon            |   0.010275 |      1.03%
   3 | vnto            |   0.009992 |      1.00%
   4 | vs              |   0.009263 |      0.93%
   5 | hee             |   0.009015 |      0.90%
   6 | wee             |   0.007545 |      0.75%
   7 | towne           |   0.006652 |      0.67%
   8 | bee             |   0.005581 |      0.56%
   9 | vp              |   0.005517 |      0.55%
  10 | hauing          |   0.005324 |      0.53%
  11 | themselues      |   0.005222 |      0.52%
  12 | riuer           |   0.004821 |      0.48%
  13 | beene           |   0.004658 |      0.47%
  14 | doe             |   0.004549 |      0.45%
  15 | ouer            |   0.004425 |      0.44%
  16 | himselfe        |   0.004316 |      0.43%
  17 | againe          |   0.003945 |      0.39%
  18 | iland           |   0.003766 |      0.38%
  19 | tooke           |   0.003736 |      0.37%
  20 | captaine        |   0.003675 |      0.37%

######## Topic 2 ########
Documents: 217 (29.36%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.010511 |      1.05%
   2 | upon            |   0.005090 |      0.51%
   3 | than            |   0.004144 |      0.41%
   4 | us              |   0.003861 |      0.39%
   5 | its             |   0.003779 |      0.38%
   6 | up              |   0.003030 |      0.30%
   7 | never           |   0.002835 |      0.28%
   8 | self            |   0.002739 |      0.27%
   9 | having          |   0.002662 |      0.27%
  10 | several         |   0.002660 |      0.27%
  11 | she             |   0.002638 |      0.26%
  12 | themselves      |   0.002492 |      0.25%
