
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         8  |          92  |      12.45%
         9  |          84  |      11.37%
        14  |          76  |      10.28%
         6  |          57  |       7.71%
        11  |          50  |       6.77%
         1  |          38  |       5.14%
        13  |          36  |       4.87%
         5  |          32  |       4.33%
         4  |          31  |       4.19%
        18  |          31  |       4.19%
         0  |          28  |       3.79%
        10  |          28  |       3.79%
        12  |          28  |       3.79%
         2  |          25  |       3.38%
        19  |          25  |       3.38%
        17  |          23  |       3.11%
        16  |          20  |       2.71%
         3  |          18  |       2.44%
        15  |           9  |       1.22%
         7  |           8  |       1.08%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 28 (3.79%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | maiestie        |   0.023261 |      2.33%
   2 | subiects        |   0.020752 |      2.08%
   3 | maiesties       |   0.020316 |      2.03%
   4 | realme          |   0.019229 |      1.92%
   5 | haue            |   0.013419 |      1.34%
   6 | item            |   0.012694 |      1.27%
   7 | proclamation    |   0.010168 |      1.02%
   8 | vpon            |   0.008631 |      0.86%
   9 | wales           |   0.007766 |      0.78%
  10 | sayd            |   0.007448 |      0.74%
  11 | sovereign       |   0.007401 |      0.74%
  12 | bee             |   0.006817 |      0.68%
  13 | yeere           |   0.006762 |      0.68%
  14 | doe             |   0.006544 |      0.65%
  15 | aswell          |   0.006522 |      0.65%
  16 | whatsoeuer      |   0.006098 |      0.61%
  17 | reigne          |   0.005984 |      0.60%
  18 | giuen           |   0.005918 |      0.59%
  19 | queenes         |   0.005912 |      0.59%
  20 | queene          |   0.005536 |      0.55%

######## Topic 1 ########
Documents: 38 (5.14%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | dublin          |   0.015719 |      1.57%
   2 | irish           |   0.011963 |      1.20%
   3 | ireland         |   0.010160 |      1.02%
   4 | capt            |   0.008171 |      0.82%
   5 | james           |   0.007975 |      0.80%
   6 | french          |   0.007713 |      0.77%
   7 | fleet           |   0.007661 |      0.77%
   8 | camp            |   0.007071 |      0.71%
   9 | major           |   0.005702 |      0.57%
  10 | regiment        |   0.005398 |      0.54%
  11 | town            |   0.005332 |      0.53%
  12 | general         |   0.005278 |      0.53%
  13 | army            |   0.005163 |      0.52%
  14 | duke            |   0.005160 |      0.52%
  15 | protestants     |   0.005018 |      0.50%
  16 | captain         |   0.004784 |      0.48%
  17 | majesties       |   0.004604 |      0.46%
  18 | wounded         |   0.004536 |      0.45%
  19 | several         |   0.004526 |      0.45%
  20 | enemy           |   0.004516 |      0.45%

######## Topic 2 ########
Documents: 25 (3.38%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | deg             |   0.010575 |      1.06%
   2 | degr            |   0.010069 |      1.01%
   3 | us              |   0.009986 |      1.00%
   4 | admiral         |   0.008814 |      0.88%
   5 | min             |   0.008008 |      0.80%
   6 | wind            |   0.007840 |      0.78%
   7 | leagues         |   0.007425 |      0.74%
   8 | sail            |   0.007079 |      0.71%
   9 | latitude        |   0.006814 |      0.68%
  10 | south           |   0.006654 |      0.67%
  11 | meridian        |   0.006557 |      0.66%
  12 | fleet           |   0.006540 |      0.65%
  13 | we              |   0.006410 |      0.64%
  14 | ship            |   0.005896 |      0.59%
  15 | north           |   0.005645 |      0.56%
  16 | anchor          |   0.005362 |      0.54%
  17 | up              |   0.005170 |      0.52%
  18 | aboard          |   0.004876 |      0.49%
  19 | line            |   0.004867 |      0.49%
  20 | river           |   0.004848 |      0.48%

######## Topic 3 ########
Documents: 18 (2.44%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | turks           |   0.017684 |      1.77%
   2 | vienna          |   0.016025 |      1.60%
   3 | parliament      |   0.015524 |      1.55%
   4 | hungary         |   0.011771 |      1.18%
   5 | vizier          |   0.010647 |      1.06%
   6 | bassa           |   0.010261 |      1.03%
   7 | turkish         |   0.009528 |      0.95%
   8 | kingdome        |   0.008298 |      0.83%
   9 | visier          |   0.007875 |      0.79%
  10 | commons         |   0.007783 |      0.78%
  11 | grand           |   0.007746 |      0.77%
  12 | buda            |   0.007743 |      0.77%
  13 | elector         |   0.007629 |      0.76%
  14 | poland          |   0.006820 |      0.68%
  15 | sultan          |   0.006457 |      0.65%
  16 | army            |   0.006440 |      0.64%
  17 | rebels          |   0.006318 |      0.63%
  18 | 2014            |   0.005973 |      0.60%
  19 | imperiall       |   0.005820 |      0.58%
  20 | have            |   0.005712 |      0.57%

######## Topic 4 ########
Documents: 31 (4.19%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | majesty         |   0.014788 |      1.48%
   2 | majesties       |   0.014402 |      1.44%
   3 | subjects        |   0.012337 |      1.23%
   4 | whatsoever      |   0.007506 |      0.75%
   5 | britain         |   0.007087 |      0.71%
   6 | proclamation    |   0.006608 |      0.66%
   7 | goods           |   0.006011 |      0.60%
   8 | have            |   0.005599 |      0.56%
   9 | states          |   0.005530 |      0.55%
  10 | said            |   0.005464 |      0.55%
  11 | john            |   0.005331 |      0.53%
  12 | unto            |   0.005238 |      0.52%
  13 | council         |   0.005225 |      0.52%
  14 | aforesaid       |   0.005122 |      0.51%
  15 | charles         |   0.005082 |      0.51%
  16 | wales           |   0.005078 |      0.51%
  17 | shall           |   0.005052 |      0.51%
  18 | commissioners   |   0.004933 |      0.49%
  19 | ships           |   0.004899 |      0.49%
  20 | treaty          |   0.004820 |      0.48%

######## Topic 5 ########
Documents: 32 (4.33%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.021561 |      2.16%
   2 | bee             |   0.010864 |      1.09%
   3 | vs              |   0.009670 |      0.97%
   4 | your            |   0.007634 |      0.76%
   5 | vnto            |   0.007625 |      0.76%
   6 | doe             |   0.007274 |      0.73%
   7 | wee             |   0.006846 |      0.68%
   8 | virginia        |   0.006348 |      0.63%
   9 | beene           |   0.005729 |      0.57%
  10 | owne            |   0.005624 |      0.56%
  11 | you             |   0.005154 |      0.52%
  12 | meanes          |   0.004638 |      0.46%
