
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         6  |          94  |      12.72%
         9  |          66  |       8.93%
         8  |          63  |       8.53%
        11  |          63  |       8.53%
         1  |          60  |       8.12%
         0  |          44  |       5.95%
        14  |          43  |       5.82%
        19  |          37  |       5.01%
         4  |          35  |       4.74%
        10  |          33  |       4.47%
        17  |          31  |       4.19%
         2  |          26  |       3.52%
         5  |          26  |       3.52%
        18  |          25  |       3.38%
         3  |          24  |       3.25%
        16  |          22  |       2.98%
        12  |          14  |       1.89%
        15  |          13  |       1.76%
         7  |          11  |       1.49%
        13  |           9  |       1.22%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 44 (5.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.019032 |      1.90%
   2 | maiestie        |   0.017515 |      1.75%
   3 | subiects        |   0.015658 |      1.57%
   4 | maiesties       |   0.014723 |      1.47%
   5 | realme          |   0.014223 |      1.42%
   6 | shippes         |   0.010046 |      1.00%
   7 | vpon            |   0.009943 |      0.99%
   8 | sayde           |   0.009026 |      0.90%
   9 | item            |   0.008908 |      0.89%
  10 | vnto            |   0.007469 |      0.75%
  11 | bee             |   0.006973 |      0.70%
  12 | yeere           |   0.006671 |      0.67%
  13 | saide           |   0.006643 |      0.66%
  14 | proclamation    |   0.006388 |      0.64%
  15 | sayd            |   0.006086 |      0.61%
  16 | theyr           |   0.005969 |      0.60%
  17 | doe             |   0.005841 |      0.58%
  18 | wales           |   0.005335 |      0.53%
  19 | whatsoeuer      |   0.005322 |      0.53%
  20 | maner           |   0.005313 |      0.53%

######## Topic 1 ########
Documents: 60 (8.12%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | majesty         |   0.012097 |      1.21%
   2 | majesties       |   0.011452 |      1.15%
   3 | ireland         |   0.007849 |      0.78%
   4 | 2013            |   0.007364 |      0.74%
   5 | irish           |   0.007240 |      0.72%
   6 | james           |   0.006803 |      0.68%
   7 | have            |   0.006275 |      0.63%
   8 | general         |   0.005685 |      0.57%
   9 | upon            |   0.005557 |      0.56%
  10 | dublin          |   0.005551 |      0.56%
  11 | camp            |   0.005338 |      0.53%
  12 | proclamation    |   0.005153 |      0.52%
  13 | french          |   0.005061 |      0.51%
  14 | fleet           |   0.005001 |      0.50%
  15 | several         |   0.004620 |      0.46%
  16 | council         |   0.004547 |      0.45%
  17 | john            |   0.004289 |      0.43%
  18 | 2014            |   0.004230 |      0.42%
