
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         6  |          97  |      13.13%
         8  |          51  |       6.90%
         1  |          45  |       6.09%
        11  |          43  |       5.82%
        10  |          37  |       5.01%
        21  |          37  |       5.01%
        26  |          36  |       4.87%
        27  |          34  |       4.60%
         3  |          32  |       4.33%
         4  |          29  |       3.92%
        18  |          29  |       3.92%
        15  |          28  |       3.79%
        25  |          26  |       3.52%
        14  |          23  |       3.11%
        23  |          23  |       3.11%
         0  |          20  |       2.71%
         2  |          20  |       2.71%
        29  |          18  |       2.44%
        16  |          17  |       2.30%
         5  |          15  |       2.03%
        17  |          14  |       1.89%
         7  |          11  |       1.49%
        19  |           9  |       1.22%
        12  |           8  |       1.08%
        24  |           8  |       1.08%
         9  |           7  |       0.95%
        22  |           7  |       0.95%
        20  |           6  |       0.81%
        28  |           5  |       0.68%
        13  |           4  |       0.54%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 20 (2.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vpon            |   0.015035 |      1.50%
   2 | vnto            |   0.011916 |      1.19%
   3 | haue            |   0.010429 |      1.04%
   4 | companie        |   0.010421 |      1.04%
   5 | towne           |   0.009989 |      1.00%
   6 | yeare           |   0.009897 |      0.99%
   7 | armie           |   0.009458 |      0.95%
   8 | duke            |   0.008370 |      0.84%
   9 | hauing          |   0.008345 |      0.83%
  10 | foote           |   0.007717 |      0.77%
  11 | vnder           |   0.007557 |      0.76%
  12 | enemie          |   0.006935 |      0.69%
  13 | ouer            |   0.006855 |      0.69%
  14 | emperour        |   0.005990 |      0.60%
  15 | giuen           |   0.005931 |      0.59%
  16 | themselues      |   0.005248 |      0.52%
  17 | thomas          |   0.004562 |      0.46%
  18 | forces          |   0.004317 |      0.43%
  19 | resolued        |   0.004301 |      0.43%
  20 | vppon           |   0.004207 |      0.42%

######## Topic 1 ########
Documents: 45 (6.09%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hee             |   0.019483 |      1.95%
   2 | haue            |   0.016639 |      1.66%
   3 | vpon            |   0.011250 |      1.12%
   4 | turkes          |   0.010170 |      1.02%
   5 | vnto            |   0.009915 |      0.99%
   6 | earle           |   0.007270 |      0.73%
   7 | towne           |   0.007237 |      0.72%
   8 | turke           |   0.006888 |      0.69%
   9 | tooke           |   0.006657 |      0.67%
  10 | my              |   0.006467 |      0.65%
  11 | himselfe        |   0.005815 |      0.58%
  12 | selfe           |   0.005677 |      0.57%
  13 | ouer            |   0.005472 |      0.55%
  14 | vp              |   0.005096 |      0.51%
  15 | me              |   0.004783 |      0.48%
  16 | campe           |   0.004558 |      0.46%
  17 | neuer           |   0.004289 |      0.43%
  18 | heare           |   0.004262 |      0.43%
  19 | themselues      |   0.004211 |      0.42%
  20 | downe           |   0.004160 |      0.42%

######## Topic 2 ########
Documents: 20 (2.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | capt            |   0.010714 |      1.07%
   2 | fleet           |   0.010312 |      1.03%
   3 | french          |   0.009155 |      0.92%
   4 | captain         |   0.008342 |      0.83%
   5 | sail            |   0.008296 |      0.83%
   6 | forces          |   0.007286 |      0.73%
   7 | wind            |   0.006441 |      0.64%
   8 | ships           |   0.005938 |      0.59%
   9 | us              |   0.005807 |      0.58%
  10 | anchor          |   0.005737 |      0.57%
  11 | arrived         |   0.005447 |      0.54%
  12 | irish           |   0.005091 |      0.51%
  13 | fort            |   0.004824 |      0.48%
  14 | army            |   0.004770 |      0.48%
  15 | duke            |   0.004697 |      0.47%
  16 | guns            |   0.004631 |      0.46%
  17 | fight           |   0.004621 |      0.46%
  18 | landing         |   0.004602 |      0.46%
  19 | we              |   0.004429 |      0.44%
  20 | isle            |   0.004181 |      0.42%

######## Topic 3 ########
Documents: 32 (4.33%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | deg             |   0.010839 |      1.08%
   2 | degr            |   0.010308 |      1.03%
   3 | min             |   0.008396 |      0.84%
   4 | latitude        |   0.007768 |      0.78%
   5 | meridian        |   0.006822 |      0.68%
   6 | leagues         |   0.005454 |      0.55%
   7 | sun             |   0.005352 |      0.54%
   8 | degrees         |   0.004999 |      0.50%
   9 | line            |   0.004716 |      0.47%
  10 | north           |   0.004517 |      0.45%
  11 | horizon         |   0.004486 |      0.45%
  12 | sine            |   0.004375 |      0.44%
  13 | angle           |   0.004313 |      0.43%
  14 | pole            |   0.004155 |      0.42%
  15 | distance        |   0.004071 |      0.41%
  16 | longitude       |   0.003908 |      0.39%
  17 | trees           |   0.003906 |      0.39%
  18 | have            |   0.003899 |      0.39%
  19 | upon            |   0.003735 |      0.37%
  20 | circle          |   0.003710 |      0.37%

######## Topic 4 ########
Documents: 29 (3.92%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | dublin          |   0.017341 |      1.73%
   2 | ireland         |   0.010992 |      1.10%
   3 | irish           |   0.010785 |      1.08%
   4 | several         |   0.008140 |      0.81%
   5 | have            |   0.007154 |      0.72%
   6 | mr              |   0.006981 |      0.70%
   7 | protestants     |   0.006980 |      0.70%
   8 | general         |   0.006726 |      0.67%
   9 | arms            |   0.006682 |      0.67%
  10 | french          |   0.006406 |      0.64%
  11 | james           |   0.006239 |      0.62%
  12 | up              |   0.005846 |      0.58%
  13 | rebels          |   0.005513 |      0.55%
  14 | earl            |   0.005453 |      0.55%
  15 | near            |   0.005349 |      0.53%
  16 | admiral         |   0.005330 |      0.53%
  17 | city            |   0.005165 |      0.52%
  18 | majesties       |   0.005041 |      0.50%
  19 | fleet           |   0.004797 |      0.48%
  20 | account         |   0.004343 |      0.43%

######## Topic 5 ########
Documents: 15 (2.03%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | que             |   0.012551 |      1.26%
   2 | qui             |   0.008185 |      0.82%
   3 | les             |   0.008178 |      0.82%
   4 | de              |   0.007945 |      0.79%
   5 | le              |   0.007086 |      0.71%
   6 | kingdome        |   0.005687 |      0.57%
   7 | et              |   0.005567 |      0.56%
   8 | non             |   0.005417 |      0.54%
   9 | haue            |   0.005300 |      0.53%
  10 | monsieur        |   0.005299 |      0.53%
  11 | anno            |   0.005243 |      0.52%
  12 | la              |   0.005134 |      0.51%
  13 | est             |   0.005003 |      0.50%
  14 | quod            |   0.004782 |      0.48%
  15 | du              |   0.004429 |      0.44%
  16 | quae            |   0.004407 |      0.44%
  17 | royall          |   0.004240 |      0.42%
  18 | lawes           |   0.004160 |      0.42%
  19 | ut              |   0.004147 |      0.41%
  20 | il              |   0.004133 |      0.41%

######## Topic 6 ########
Documents: 97 (13.13%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | her             |   0.008728 |      0.87%
   2 | she             |   0.008448 |      0.84%
   3 | have            |   0.006613 |      0.66%
   4 | he              |   0.005441 |      0.54%
   5 | me              |   0.005320 |      0.53%
   6 | love            |   0.004910 |      0.49%
   7 | my              |   0.004802 |      0.48%
   8 | himself         |   0.004472 |      0.45%
   9 | self            |   0.004448 |      0.44%
  10 | him             |   0.004335 |      0.43%
  11 | than            |   0.004307 |      0.43%
  12 | never           |   0.004133 |      0.41%
  13 | you             |   0.003738 |      0.37%
  14 | up              |   0.003619 |      0.36%
  15 | upon            |   0.003421 |      0.34%
  16 | was             |   0.003046 |      0.30%
  17 | having          |   0.002833 |      0.28%
  18 | tis             |   0.002812 |      0.28%
  19 | could           |   0.002811 |      0.28%
  20 | had             |   0.002775 |      0.28%

######## Topic 7 ########
Documents: 11 (1.49%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | john            |   0.018120 |      1.81%
   2 | your            |   0.016543 |      1.65%
   3 | james           |   0.012985 |      1.30%
   4 | sir             |   0.012736 |      1.27%
   5 | richard         |   0.011846 |      1.18%
   6 | robert          |   0.008550 |      0.85%
   7 | you             |   0.007532 |      0.75%
   8 | mr              |   0.006973 |      0.70%
   9 | 72              |   0.006277 |      0.63%
  10 | thy             |   0.006220 |      0.62%
  11 | 70              |   0.006093 |      0.61%
  12 | quoth           |   0.005794 |      0.58%
  13 | thomas          |   0.005664 |      0.57%
  14 | majesties       |   0.005568 |      0.56%
  15 | have            |   0.005466 |      0.55%
  16 | thee            |   0.005386 |      0.54%
  17 | ye              |   0.005100 |      0.51%
  18 | 90              |   0.004843 |      0.48%
  19 | my              |   0.004785 |      0.48%
  20 | her             |   0.004780 |      0.48%

######## Topic 8 ########
Documents: 51 (6.90%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.017415 |      1.74%
   2 | india           |   0.010843 |      1.08%
   3 | trade           |   0.010039 |      1.00%
   4 | stock           |   0.008708 |      0.87%
   5 | company         |   0.007763 |      0.78%
   6 | upon            |   0.006494 |      0.65%
   7 | scots           |   0.005752 |      0.58%
   8 | its             |   0.005390 |      0.54%
   9 | charter         |   0.005214 |      0.52%
  10 | indies          |   0.005198 |      0.52%
  11 | east            |   0.004902 |      0.49%
  12 | darien          |   0.004729 |      0.47%
  13 | spain           |   0.004576 |      0.46%
  14 | than            |   0.004522 |      0.45%
  15 | colony          |   0.004512 |      0.45%
  16 | interest        |   0.004462 |      0.45%
  17 | year            |   0.004110 |      0.41%
  18 | nation          |   0.004032 |      0.40%
  19 | province        |   0.003925 |      0.39%
  20 | us              |   0.003751 |      0.38%

######## Topic 9 ########
Documents: 7 (0.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | county          |   0.027235 |      2.72%
   2 | shire           |   0.018096 |      1.81%
   3 | south           |   0.016842 |      1.68%
   4 | north           |   0.013796 |      1.38%
   5 | west            |   0.013741 |      1.37%
   6 | river           |   0.013367 |      1.34%
   7 | east            |   0.010728 |      1.07%
   8 | town            |   0.010658 |      1.07%
   9 | miles           |   0.010283 |      1.03%
  10 | lath            |   0.008085 |      0.81%
  11 | baths           |   0.007725 |      0.77%
  12 | towns           |   0.006946 |      0.69%
  13 | canterbury      |   0.006363 |      0.64%
  14 | description     |   0.005773 |      0.58%
  15 | division        |   0.005613 |      0.56%
  16 | castle          |   0.005565 |      0.56%
  17 | parishes        |   0.005554 |      0.56%
  18 | lieth           |   0.005553 |      0.56%
  19 | lyeth           |   0.005548 |      0.55%
  20 | neer            |   0.005191 |      0.52%

######## Topic 10 ########
Documents: 37 (5.01%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | vs              |   0.018330 |      1.83%
   2 | wee             |   0.016500 |      1.65%
   3 | haue            |   0.012403 |      1.24%
   4 | captaine        |   0.011330 |      1.13%
   5 | iland           |   0.009785 |      0.98%
   6 | shippes         |   0.009559 |      0.96%
   7 | hee             |   0.008486 |      0.85%
   8 | vpon            |   0.008316 |      0.83%
   9 | shippe          |   0.007869 |      0.79%
  10 | bee             |   0.007706 |      0.77%
  11 | admirall        |   0.007545 |      0.75%
  12 | vp              |   0.007418 |      0.74%
  13 | tooke           |   0.006914 |      0.69%
  14 | fiue            |   0.006687 |      0.67%
  15 | downe           |   0.006361 |      0.64%
  16 | vnto            |   0.006284 |      0.63%
  17 | foure           |   0.006199 |      0.62%
  18 | hauing          |   0.006152 |      0.62%
  19 | towne           |   0.006038 |      0.60%
  20 | themselues      |   0.005748 |      0.57%

######## Topic 11 ########
Documents: 43 (5.82%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.017131 |      1.71%
   2 | vs              |   0.011985 |      1.20%
   3 | doe             |   0.007557 |      0.76%
   4 | euery           |   0.006854 |      0.69%
   5 | owne            |   0.006666 |      0.67%
   6 | wee             |   0.006547 |      0.65%
   7 | neuer           |   0.006094 |      0.61%
   8 | virginia        |   0.005748 |      0.57%
   9 | vp              |   0.005508 |      0.55%
  10 | riuer           |   0.005324 |      0.53%
  11 | euer            |   0.005261 |      0.53%
  12 | ile             |   0.005168 |      0.52%
  13 | beene           |   0.005157 |      0.52%
  14 | vpon            |   0.004955 |      0.50%
  15 | selfe           |   0.004950 |      0.50%
  16 | diuers          |   0.004600 |      0.46%
  17 | liue            |   0.004561 |      0.46%
  18 | vnto            |   0.003982 |      0.40%
  19 | neere           |   0.003956 |      0.40%
  20 | giue            |   0.003767 |      0.38%

######## Topic 12 ########
Documents: 8 (1.08%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | furlongs        |   0.016759 |      1.68%
   2 | chap            |   0.015596 |      1.56%
   3 | hée             |   0.014502 |      1.45%
   4 | island          |   0.009033 |      0.90%
   5 | furl            |   0.007515 |      0.75%
   6 | village         |   0.007471 |      0.75%
   7 | you             |   0.007039 |      0.70%
   8 | left            |   0.006211 |      0.62%
   9 | mile            |   0.005250 |      0.52%
  10 | right           |   0.005234 |      0.52%
  11 | portugals       |   0.005061 |      0.51%
  12 | host            |   0.004764 |      0.48%
  13 | miles           |   0.004599 |      0.46%
  14 | countrey        |   0.004296 |      0.43%
  15 | enter           |   0.004274 |      0.43%
  16 | hill            |   0.004034 |      0.40%
  17 | horse           |   0.003674 |      0.37%
  18 | mr              |   0.003661 |      0.37%
  19 | road            |   0.003592 |      0.36%
  20 | bée             |   0.003567 |      0.36%

######## Topic 13 ########
Documents: 4 (0.54%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | myles           |   0.095704 |      9.57%
   2 | item            |   0.067491 |      6.75%
   3 | vij             |   0.036849 |      3.68%
   4 | ye              |   0.030622 |      3.06%
   5 | yeres           |   0.017957 |      1.80%
   6 | henry           |   0.011931 |      1.19%
   7 | summe           |   0.010929 |      1.09%
   8 | enquire         |   0.010521 |      1.05%
   9 | citie           |   0.010461 |      1.05%
  10 | worlde          |   0.010433 |      1.04%
  11 | alias           |   0.008848 |      0.88%
  12 | saynt           |   0.008725 |      0.87%
  13 | iiii            |   0.008632 |      0.86%
  14 | tyme            |   0.008270 |      0.83%
  15 | xxx             |   0.008152 |      0.82%
  16 | whyche          |   0.007529 |      0.75%
  17 | aboute          |   0.007250 |      0.72%
  18 | la              |   0.006746 |      0.67%
  19 | sussex          |   0.006742 |      0.67%
  20 | xx              |   0.006723 |      0.67%

######## Topic 14 ########
Documents: 23 (3.11%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | upon            |   0.009863 |      0.99%
   2 | have            |   0.009360 |      0.94%
   3 | indians         |   0.006995 |      0.70%
   4 | every           |   0.005743 |      0.57%
   5 | unto            |   0.005018 |      0.50%
   6 | use             |   0.004904 |      0.49%
   7 | themselves      |   0.004863 |      0.49%
   8 | indian          |   0.004726 |      0.47%
   9 | us              |   0.004039 |      0.40%
  10 | government      |   0.003811 |      0.38%
  11 | year            |   0.003447 |      0.34%
  12 | years           |   0.003346 |      0.33%
  13 | country         |   0.003270 |      0.33%
  14 | corn            |   0.003101 |      0.31%
  15 | publick         |   0.003023 |      0.30%
  16 | council         |   0.002967 |      0.30%
  17 | parish          |   0.002956 |      0.30%
  18 | city            |   0.002912 |      0.29%
  19 | islands         |   0.002767 |      0.28%
  20 | church          |   0.002744 |      0.27%

######## Topic 15 ########
Documents: 28 (3.79%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | turks           |   0.015334 |      1.53%
   2 | camp            |   0.011875 |      1.19%
