
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         6  |          73  |       9.88%
        11  |          57  |       7.71%
        16  |          52  |       7.04%
        26  |          51  |       6.90%
         1  |          50  |       6.77%
         0  |          45  |       6.09%
        21  |          41  |       5.55%
         8  |          36  |       4.87%
        17  |          29  |       3.92%
        10  |          27  |       3.65%
        27  |          26  |       3.52%
        18  |          23  |       3.11%
        15  |          22  |       2.98%
         5  |          20  |       2.71%
         4  |          18  |       2.44%
        25  |          18  |       2.44%
        14  |          17  |       2.30%
        29  |          17  |       2.30%
         2  |          16  |       2.17%
         9  |          16  |       2.17%
        23  |          16  |       2.17%
         3  |          12  |       1.62%
        19  |          12  |       1.62%
        24  |          10  |       1.35%
         7  |           8  |       1.08%
        12  |           7  |       0.95%
        20  |           7  |       0.95%
        13  |           6  |       0.81%
        22  |           4  |       0.54%
        28  |           3  |       0.41%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 45 (6.09%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | towne           |   0.009801 |      0.98%
   2 | vpon            |   0.008921 |      0.89%
   3 | haue            |   0.008863 |      0.89%
   4 | armie           |   0.007587 |      0.76%
   5 | duke            |   0.007565 |      0.76%
   6 | bohemia         |   0.007423 |      0.74%
   7 | hee             |   0.007041 |      0.70%
   8 | turkes          |   0.006811 |      0.68%
   9 | generall        |   0.005822 |      0.58%
  10 | vnto            |   0.005488 |      0.55%
  11 | forces          |   0.005336 |      0.53%
  12 | count           |   0.005138 |      0.51%
  13 | campe           |   0.005134 |      0.51%
  14 | himselfe        |   0.004973 |      0.50%
  15 | souldiers       |   0.004961 |      0.50%
  16 | earle           |   0.004846 |      0.48%
  17 | slaine          |   0.004706 |      0.47%
  18 | newes           |   0.004563 |      0.46%
  19 | themselues      |   0.004540 |      0.45%
  20 | army            |   0.004532 |      0.45%

######## Topic 1 ########
Documents: 50 (6.77%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.017941 |      1.79%
   2 | hee             |   0.009105 |      0.91%
   3 | vs              |   0.008941 |      0.89%
   4 | vnto            |   0.008600 |      0.86%
   5 | vpon            |   0.008541 |      0.85%
   6 | vp              |   0.005818 |      0.58%
   7 | bee             |   0.005505 |      0.55%
   8 | neuer           |   0.005370 |      0.54%
   9 | owne            |   0.005116 |      0.51%
  10 | ouer            |   0.004861 |      0.49%
  11 | loue            |   0.004455 |      0.45%
  12 | your            |   0.004441 |      0.44%
  13 | my              |   0.004364 |      0.44%
  14 | selfe           |   0.004306 |      0.43%
  15 | euer            |   0.004257 |      0.43%
  16 | you             |   0.004131 |      0.41%
  17 | euery           |   0.003934 |      0.39%
  18 | themselues      |   0.003931 |      0.39%
  19 | giue            |   0.003799 |      0.38%
  20 | hauing          |   0.003696 |      0.37%

######## Topic 2 ########
Documents: 16 (2.17%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | fleet           |   0.019807 |      1.98%
   2 | admiral         |   0.013320 |      1.33%
   3 | sail            |   0.013027 |      1.30%
   4 | guns            |   0.009527 |      0.95%
   5 | board           |   0.009410 |      0.94%
   6 | french          |   0.008815 |      0.88%
   7 | captain         |   0.008303 |      0.83%
   8 | ships           |   0.007785 |      0.78%
   9 | dutch           |   0.007376 |      0.74%
  10 | wind            |   0.007166 |      0.72%
  11 | anchor          |   0.006210 |      0.62%
  12 | ship            |   0.006093 |      0.61%
  13 | us              |   0.005906 |      0.59%
  14 | capt            |   0.005241 |      0.52%
  15 | up              |   0.004937 |      0.49%
  16 | squadron        |   0.004733 |      0.47%
  17 | clock           |   0.004728 |      0.47%
  18 | war             |   0.004701 |      0.47%
  19 | we              |   0.004562 |      0.46%
  20 | highness        |   0.004504 |      0.45%

######## Topic 3 ########
Documents: 12 (1.62%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | deg             |   0.020885 |      2.09%
   2 | degr            |   0.019875 |      1.99%
   3 | min             |   0.015890 |      1.59%
   4 | meridian        |   0.013142 |      1.31%
   5 | latitude        |   0.012799 |      1.28%
   6 | horizon         |   0.008213 |      0.82%
   7 | angle           |   0.008034 |      0.80%
   8 | line            |   0.007994 |      0.80%
   9 | sine            |   0.007863 |      0.79%
  10 | pole            |   0.007225 |      0.72%
  11 | longitude       |   0.007139 |      0.71%
  12 | your            |   0.006758 |      0.68%
  13 | its             |   0.006449 |      0.64%
  14 | circle          |   0.006262 |      0.63%
  15 | altitude        |   0.005670 |      0.57%
  16 | distance        |   0.005666 |      0.57%
  17 | sun             |   0.005629 |      0.56%
  18 | degrees         |   0.005499 |      0.55%
  19 | you             |   0.005453 |      0.55%
  20 | baths           |   0.005401 |      0.54%

######## Topic 4 ########
Documents: 18 (2.44%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | dublin          |   0.029266 |      2.93%
   2 | irish           |   0.022794 |      2.28%
   3 | ireland         |   0.016597 |      1.66%
   4 | james           |   0.011500 |      1.15%
   5 | major           |   0.009191 |      0.92%
   6 | protestants     |   0.008590 |      0.86%
   7 | capt            |   0.007665 |      0.77%
   8 | town            |   0.006757 |      0.68%
   9 | regiment        |   0.006529 |      0.65%
  10 | general         |   0.006407 |      0.64%
  11 | account         |   0.006401 |      0.64%
  12 | rebels          |   0.006053 |      0.61%
  13 | camp            |   0.006012 |      0.60%
  14 | regiments       |   0.005816 |      0.58%
  15 | arrival         |   0.005308 |      0.53%
  16 | have            |   0.005235 |      0.52%
  17 | duke            |   0.005116 |      0.51%
  18 | french          |   0.004981 |      0.50%
  19 | arms            |   0.004974 |      0.50%
  20 | col             |   0.004973 |      0.50%

######## Topic 5 ########
Documents: 20 (2.71%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | que             |   0.008501 |      0.85%
   2 | de              |   0.007156 |      0.72%
   3 | earl            |   0.006980 |      0.70%
