
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         5  |          54  |       7.31%
        27  |          49  |       6.63%
        35  |          40  |       5.41%
        29  |          37  |       5.01%
        20  |          35  |       4.74%
        13  |          34  |       4.60%
        23  |          32  |       4.33%
        15  |          31  |       4.19%
         1  |          28  |       3.79%
        10  |          26  |       3.52%
        12  |          23  |       3.11%
        26  |          23  |       3.11%
        30  |          22  |       2.98%
         9  |          20  |       2.71%
        17  |          20  |       2.71%
         6  |          19  |       2.57%
         0  |          18  |       2.44%
        22  |          17  |       2.30%
        18  |          16  |       2.17%
        21  |          16  |       2.17%
        14  |          15  |       2.03%
        19  |          15  |       2.03%
        28  |          13  |       1.76%
         4  |          12  |       1.62%
        16  |          12  |       1.62%
        34  |          12  |       1.62%
        32  |          11  |       1.49%
        37  |          11  |       1.49%
         7  |           9  |       1.22%
        24  |           9  |       1.22%
        36  |           9  |       1.22%
        38  |           9  |       1.22%
         2  |           7  |       0.95%
        25  |           7  |       0.95%
         8  |           6  |       0.81%
        33  |           6  |       0.81%
        39  |           6  |       0.81%
         3  |           4  |       0.54%
        11  |           3  |       0.41%
        31  |           3  |       0.41%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 18 (2.44%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | county          |   0.022891 |      2.29%
   2 | earl            |   0.011010 |      1.10%
   3 | shire           |   0.009606 |      0.96%
   4 | henry           |   0.008763 |      0.88%
   5 | mayor           |   0.007918 |      0.79%
   6 | year            |   0.007306 |      0.73%
   7 | lath            |   0.006880 |      0.69%
   8 | edward          |   0.006425 |      0.64%
   9 | parish          |   0.006173 |      0.62%
  10 | canterbury      |   0.006103 |      0.61%
  11 | justices        |   0.005996 |      0.60%
  12 | vizier          |   0.005907 |      0.59%
  13 | river           |   0.005820 |      0.58%
  14 | island          |   0.005755 |      0.58%
  15 | city            |   0.005619 |      0.56%
  16 | sheriff         |   0.005525 |      0.55%
  17 | st              |   0.005266 |      0.53%
  18 | esquire         |   0.005095 |      0.51%
  19 | town            |   0.004997 |      0.50%
  20 | borough         |   0.004913 |      0.49%

######## Topic 1 ########
Documents: 28 (3.79%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.007339 |      0.73%
   2 | fish            |   0.006643 |      0.66%
   3 | its             |   0.006462 |      0.65%
   4 | tree            |   0.003931 |      0.39%
   5 | use             |   0.003596 |      0.36%
   6 | grows           |   0.003544 |      0.35%
   7 | upon            |   0.003390 |      0.34%
   8 | water           |   0.003241 |      0.32%
   9 | every           |   0.003233 |      0.32%
  10 | air             |   0.003022 |      0.30%
  11 | ethiopia        |   0.002986 |      0.30%
  12 | islands         |   0.002895 |      0.29%
  13 | colour          |   0.002808 |      0.28%
  14 | observed        |   0.002769 |      0.28%
  15 | sorts           |   0.002764 |      0.28%
  16 | year            |   0.002740 |      0.27%
  17 | sometimes       |   0.002690 |      0.27%
  18 | eat             |   0.002635 |      0.26%
  19 | island          |   0.002559 |      0.26%
  20 | leaves          |   0.002521 |      0.25%

######## Topic 2 ########
Documents: 7 (0.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | indies          |   0.013968 |      1.40%
   2 | company         |   0.012137 |      1.21%
   3 | every           |   0.011156 |      1.12%
   4 | henry           |   0.009900 |      0.99%
   5 | trading         |   0.008982 |      0.90%
   6 | islands         |   0.007144 |      0.71%
   7 | trade           |   0.006937 |      0.69%
   8 | scotland        |   0.005848 |      0.58%
   9 | governour       |   0.005592 |      0.56%
  10 | countrey        |   0.005255 |      0.53%
  11 | africa          |   0.005190 |      0.52%
  12 | court           |   0.005142 |      0.51%
  13 | justices        |   0.005112 |      0.51%
  14 | council         |   0.004829 |      0.48%
  15 | india           |   0.004794 |      0.48%
  16 | alias           |   0.004787 |      0.48%
  17 | charter         |   0.004754 |      0.48%
  18 | pounds          |   0.004659 |      0.47%
  19 | merchants       |   0.004415 |      0.44%
