
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
         1  |         169  |      22.87%
         2  |         144  |      19.49%
         3  |         111  |      15.02%
         4  |          80  |      10.83%
         5  |          56  |       7.58%
         9  |          52  |       7.04%
         7  |          41  |       5.55%
         0  |          39  |       5.28%
         8  |          32  |       4.33%
         6  |          15  |       2.03%

############################################################
#   TABLE 2: TOP WORDS PER TOPIC (WITH AVERAGE VALUE)   #
############################################################

######## Topic 0 ########
Documents: 39 (5.28%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | mansfield       |   0.003194 |      0.32%
   2 | bohemia         |   0.003008 |      0.30%
   3 | furlongs        |   0.002700 |      0.27%
   4 | palatinate      |   0.002634 |      0.26%
   5 | brunswicke      |   0.002621 |      0.26%
   6 | tilly           |   0.002568 |      0.26%
   7 | vpon            |   0.002491 |      0.25%
   8 | 52              |   0.002446 |      0.24%
   9 | bridg           |   0.002420 |      0.24%
  10 | haue            |   0.002341 |      0.23%
  11 | duke            |   0.002267 |      0.23%
  12 | count           |   0.002048 |      0.20%
  13 | 51              |   0.001986 |      0.20%
  14 | towne           |   0.001957 |      0.20%
  15 | 53              |   0.001919 |      0.19%
  16 | imperiall       |   0.001824 |      0.18%
  17 | prague          |   0.001743 |      0.17%
  18 | 18              |   0.001687 |      0.17%
  19 | iune            |   0.001681 |      0.17%
  20 | 17              |   0.001644 |      0.16%

######## Topic 1 ########
Documents: 169 (22.87%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.005647 |      0.56%
   2 | vs              |   0.003460 |      0.35%
   3 | hee             |   0.003136 |      0.31%
   4 | vnto            |   0.003116 |      0.31%
   5 | vpon            |   0.002977 |      0.30%
   6 | wee             |   0.002595 |      0.26%
   7 | towne           |   0.001837 |      0.18%
   8 | vp              |   0.001807 |      0.18%
   9 | bee             |   0.001794 |      0.18%
  10 | doe             |   0.001730 |      0.17%
  11 | hauing          |   0.001547 |      0.15%
  12 | riuer           |   0.001544 |      0.15%
  13 | themselues      |   0.001489 |      0.15%
  14 | ouer            |   0.001453 |      0.15%
  15 | owne            |   0.001422 |      0.14%
  16 | beene           |   0.001399 |      0.14%
  17 | iland           |   0.001395 |      0.14%
  18 | euery           |   0.001328 |      0.13%
  19 | downe           |   0.001310 |      0.13%
  20 | himselfe        |   0.001302 |      0.13%

######## Topic 2 ########
Documents: 144 (19.49%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.003034 |      0.30%
   2 | upon            |   0.001689 |      0.17%
   3 | river           |   0.001478 |      0.15%
   4 | us              |   0.001465 |      0.15%
   5 | its             |   0.001315 |      0.13%
   6 | up              |   0.001170 |      0.12%
   7 | island          |   0.001095 |      0.11%
   8 | deg             |   0.001022 |      0.10%
   9 | unto            |   0.000945 |      0.09%
  10 | several         |   0.000945 |      0.09%
  11 | than            |   0.000944 |      0.09%
  12 | having          |   0.000886 |      0.09%
  13 | city            |   0.000865 |      0.09%
  14 | degr            |   0.000858 |      0.09%
  15 | every           |   0.000850 |      0.08%
  16 | over            |   0.000847 |      0.08%
  17 | province        |   0.000830 |      0.08%
  18 | we              |   0.000813 |      0.08%
  19 | chap            |   0.000801 |      0.08%
  20 | year            |   0.000801 |      0.08%

######## Topic 3 ########
Documents: 111 (15.02%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.002917 |      0.29%
   2 | upon            |   0.001954 |      0.20%
   3 | her             |   0.001828 |      0.18%
   4 | she             |   0.001792 |      0.18%
   5 | you             |   0.001481 |      0.15%
   6 | us              |   0.001460 |      0.15%
   7 | up              |   0.001419 |      0.14%
   8 | he              |   0.001403 |      0.14%
   9 | my              |   0.001363 |      0.14%
  10 | having          |   0.001336 |      0.13%
  11 | him             |   0.001303 |      0.13%
  12 | himself         |   0.001228 |      0.12%
  13 | me              |   0.001218 |      0.12%
  14 | your            |   0.001161 |      0.12%
  15 | was             |   0.001161 |      0.12%
  16 | turks           |   0.001116 |      0.11%
  17 | love            |   0.001083 |      0.11%
  18 | several         |   0.001045 |      0.10%
  19 | than            |   0.001042 |      0.10%
  20 | em              |   0.000990 |      0.10%

######## Topic 4 ########
Documents: 80 (10.83%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.004676 |      0.47%
   2 | majesty         |   0.002412 |      0.24%
   3 | upon            |   0.002356 |      0.24%
   4 | trade           |   0.002334 |      0.23%
   5 | subjects        |   0.002086 |      0.21%
   6 | india           |   0.002078 |      0.21%
   7 | stock           |   0.002028 |      0.20%
   8 | majesties       |   0.002015 |      0.20%
   9 | directors       |   0.001745 |      0.17%
  10 | company         |   0.001728 |      0.17%
  11 | parliament      |   0.001725 |      0.17%
  12 | its             |   0.001216 |      0.12%
  13 | ships           |   0.001205 |      0.12%
  14 | goods           |   0.001204 |      0.12%
  15 | scots           |   0.001190 |      0.12%
  16 | themselves      |   0.001166 |      0.12%
  17 | east            |   0.001159 |      0.12%
  18 | joint           |   0.001139 |      0.11%
  19 | council         |   0.001137 |      0.11%
  20 | britain         |   0.001123 |      0.11%

######## Topic 5 ########
Documents: 56 (7.58%)  |  Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | maiestie        |   0.005352 |      0.54%
   2 | subiects        |   0.005319 |      0.53%
   3 | maiesties       |   0.005002 |      0.50%
   4 | proclamation    |   0.004605 |      0.46%
   5 | realme          |   0.004576 |      0.46%
   6 | haue            |   0.003617 |      0.36%
   7 | wales           |   0.003597 |      0.36%
   8 | 1625            |   0.003523 |      0.35%
   9 | parliament      |   0.003427 |      0.34%
  10 | item            |   0.003301 |      0.33%
  11 | 1649            |   0.002869 |      0.29%
  12 | barker          |   0.002829 |      0.28%
  13 | sovereign       |   0.002793 |      0.28%
  14 | 2013            |   0.002689 |      0.27%
  15 | kingdome        |   0.002613 |      0.26%
  16 | bee             |   0.002604 |      0.26%
  17 | 1603            |   0.002368 |      0.24%
  18 | olivia          |   0.002356 |      0.24%
