######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hym             |   0.008432 |      0.84%
   2 | is              |   0.007811 |      0.78%
   3 | be              |   0.006338 |      0.63%
   4 | as              |   0.005736 |      0.57%
   5 | but             |   0.005306 |      0.53%
   6 | kynge           |   0.005302 |      0.53%
   7 | so              |   0.005101 |      0.51%
   8 | men             |   0.004971 |      0.50%
   9 | there           |   0.004676 |      0.47%
  10 | had             |   0.004477 |      0.45%
  11 | after           |   0.004431 |      0.44%
  12 | yere            |   0.004089 |      0.41%
  13 | theyr           |   0.004088 |      0.41%
  14 | not             |   0.003990 |      0.40%
  15 | kyng            |   0.003630 |      0.36%
  16 | whiche          |   0.003612 |      0.36%
  17 | other           |   0.003572 |      0.36%
  18 | whan            |   0.003459 |      0.35%
  19 | haue            |   0.003444 |      0.34%
  20 | them            |   0.003427 |      0.34%
  21 | made            |   0.003368 |      0.34%
  22 | tyme            |   0.003355 |      0.34%
  23 | ye              |   0.003037 |      0.30%
  24 | than            |   0.003035 |      0.30%
  25 | man             |   0.003012 |      0.30%
  26 | de              |   0.003010 |      0.30%
  27 | grete           |   0.002742 |      0.27%
  28 | on              |   0.002679 |      0.27%
  29 | also            |   0.002664 |      0.27%
  30 | sayd            |   0.002567 |      0.26%
  31 | shall           |   0.002499 |      0.25%
  32 | me              |   0.002415 |      0.24%
  33 | an              |   0.002405 |      0.24%
  34 | many            |   0.002396 |      0.24%
  35 | came            |   0.002330 |      0.23%
  36 | londe           |   0.002322 |      0.23%
  37 | vnto            |   0.002285 |      0.23%
  38 | no              |   0.002258 |      0.23%
  39 | god             |   0.002138 |      0.21%
  40 | come            |   0.002034 |      0.20%
  41 | her             |   0.001904 |      0.19%
  42 | called          |   0.001799 |      0.18%
  43 | vpon            |   0.001767 |      0.18%
  44 | syr             |   0.001735 |      0.17%
  45 | one             |   0.001731 |      0.17%
  46 | sholde          |   0.001725 |      0.17%
  47 | ne              |   0.001717 |      0.17%
  48 | or              |   0.001681 |      0.17%
  49 | pope            |   0.001662 |      0.17%
  50 | we              |   0.001647 |      0.16%

Excluded Words:
None


######## Topic 1 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | anno            |   0.005693 |      0.57%
   2 | him             |   0.004987 |      0.50%
   3 | ut              |   0.004208 |      0.42%
   4 | king            |   0.004025 |      0.40%
   5 | prius           |   0.003732 |      0.37%
   6 | will            |   0.003666 |      0.37%
   7 | who             |   0.003264 |      0.33%
   8 | being           |   0.003104 |      0.31%
   9 | county          |   0.002920 |      0.29%
  10 | ar              |   0.002885 |      0.29%
  11 | from            |   0.002860 |      0.29%
  12 | sir             |   0.002835 |      0.28%
  13 | have            |   0.002699 |      0.27%
  14 | some            |   0.002530 |      0.25%
  15 | born            |   0.002510 |      0.25%
  16 | bishop          |   0.002506 |      0.25%
  17 | first           |   0.002403 |      0.24%
  18 | then            |   0.002207 |      0.22%
  19 | great           |   0.002071 |      0.21%
  20 | henry           |   0.002020 |      0.20%
  21 | lord            |   0.002010 |      0.20%
  22 | thereof         |   0.002002 |      0.20%
  23 | may             |   0.001995 |      0.20%
  24 | tho             |   0.001988 |      0.20%
  25 | england         |   0.001987 |      0.20%
  26 | our             |   0.001984 |      0.20%
  27 | more            |   0.001976 |      0.20%
  28 | are             |   0.001972 |      0.20%
  29 | such            |   0.001972 |      0.20%
  30 | john            |   0.001971 |      0.20%
  31 | years           |   0.001970 |      0.20%
  32 | when            |   0.001904 |      0.19%
  33 | though          |   0.001895 |      0.19%
  34 | into            |   0.001877 |      0.19%
  35 | where           |   0.001770 |      0.18%
  36 | much            |   0.001540 |      0.15%
  37 | own             |   0.001531 |      0.15%
  38 | if              |   0.001529 |      0.15%
  39 | mil             |   0.001506 |      0.15%
  40 | good            |   0.001466 |      0.15%
